X1	X2	year_date	letter_id	folio_or_catalogue
188	7831	1599	L504	F27
68	216	1599	L505	F13
211	68	1599	L506	F13
197	576	1599	L507	F32
216	68	1599	L508	F13
205	613	1599	L509	NA
175	613	1599	L510	NA
112	576	1599	L511	F32
175	68	1599	L512	F13
187	258	1599	L513	F28
243	576	1600	L514	F32
175	68	1600	L515	F13
244	256	1600	L516	F33
245	79	1600	L517	F13
246	401	1600	L518	F35
247	613	1600	L519	NA
248	7832	1600	L520	F33
247	613	1600	L521	NA
247	613	1600	L522	NA
249	576	1600	L523	F32
250	7832	1600	L524	F33
248	7832	1600	L524	F33
251	266	1600	L525	F8
135	7833	1600	L526	F33
243	576	1600	L527	F32
92	576	1600	L528	F32
243	576	1600	L529	F32
112	576	1600	L530	F32
68	175	1600	L531	F13
112	576	1600	L532	F32
252	576	1601	L533	F32
112	7834	1601	L534	F8
247	613	1601	L535	NA
253	576	1601	L536	F32
254	401	1601	L537	F25
228	58	1601	L538	F33
228	105	1601	L539	F33
228	53	1601	L540	F33
255	576	1601	L541	F32
247	613	1601	L542	NA
247	613	1601	L543	NA
256	7835	1601	L544	F33
257	256	1601	L545	F33
247	613	1601	L546	NA
252	576	1601	L547	F32
243	576	1601	L548	F32
252	576	1601	L549	F32
247	613	1601	L550	NA
244	576	1601	L551	F32
247	613	1601	L552	NA
258	287	1601	L553	F28
259	7836	1601	L554	F33
241	7281	1601	L555	F22
247	613	1602	L556	NA
241	7837	1602	L557	F33
241	7281	1602	L558	F22
175	613	1602	L559	NA
260	401	1602	L560	F36
214	258	1602	L561	F28
261	401	1602	L562	F36
262	68	1602	L563	F13
247	613	1602	L564	NA
257	256	1602	L565	F33
112	278	1602	L566	F8
53	7838	1602	L567	F32
263	7839	1602	L568	F33
252	576	1602	L569	F32
256	576	1603	L570	F32
107	7281	1603	L571	F33
79	7840	1603	L572	F37
264	68	1603	L573	F13
265	68	1603	L574	F13
266	68	1603	L575	F13
162	576	1603	L576	F32
267	258	1603	L577	F28
268	68	1603	L578	F13
269	68	1603	L579	F13
269	68	1603	L580	F13
270	7841	1604	L581	F37
271	576	1604	L582	F32
269	68	1604	L583	F13
272	7281	1604	L584	F37
273	68	1604	L585	F13
274	68	1604	L586	F13
274	68	1604	L587	F13
274	68	1604	L588	F13
68	274	1604	L589	F13
68	274	1604	L590	F13
275	7842	1604	L591	F38
269	68	1604	L592	F13
276	7843	1604	L593	F37
68	7844	1604	L594	F13
277	800	1604	L595	F37
79	7845	1604	L596	NA
278	7812	1605	L597	F8
241	7846	1605	L598	F37
279	7812	1605	L599	F30
274	68	1605	L600	F13
280	68	1605	L601	F13
281	576	1605	L602	F32
282	576	1606	L603	F32
257	256	1606	L604	F37
223	613	1606	L605	NA
283	258	1606	L606	F28
284	800	1606	L607	F37
264	68	1606	L608	F13
285	7847	1606	L609	F37
286	7847	1606	L610	F37
287	7847	1606	L611	F37
285	7847	1606	L612	F37
288	7812	1607	L613	F30
289	7847	1607	L614	F37
290	401	1607	L615	F36
291	256	1607	L616	F37
269	68	1607	L617	F13
292	576	1607	L618	F32
293	613	1607	L619	F29
294	613	1607	L620	NA
256	576	1607	L621	F32
295	7847	1607	L622	F39
296	576	1607	L623	F32
