X1	X2	year_date	letter_id	folio_or_catalogue
19	41	1543	L386	F3
19	41	1543	L387	F3
19	41	1543	L388	F3
33	40	1543	L389	F7
33	9950	1543	L390	F7
19	41	1543	L391	F3
35	33	1543	L392	F7
40	33	1543	L393	F7
33	68	1543	L394	F7
19	41	1543	L395	F3
33	40	1543	L396	F7
35	33	1543	L397	F7
19	41	1543	L398	F3
35	33	1543	L399	F7
19	41	1543	L400	F3
35	33	1544	L401	F7
33	40	1544	L402	F7
42	9961	1544	L403	F4
19	41	1544	L404	F3
19	41	1544	L405	F3
33	40	1544	L406	F7
35	33	1544	L407	F7
33	40	1544	L408	F7
33	40	1544	L409	F7
33	40	1544	L410	F7
19	41	1544	L411	F3
33	40	1544	L412	F7
40	33	1544	L413	F7
33	40	1544	L414	F7
35	33	1544	L415	F7
35	33	1544	L416	F7
19	41	1544	L417	F3
40	33	1544	L418	F7
33	40	1544	L419	F7
33	36	1544	L420	F7
19	41	1544	L421	F3
33	40	1544	L422	F7
33	9957	1544	L423	F7
35	33	1544	L424	F7
38	19	1544	L425	F3
35	33	1544	L426	F7
33	40	1544	L427	F7
19	41	1544	L428	F3
40	33	1544	L429	F7
19	41	1544	L430	F3
43	74	1544	L431	F8
33	40	1544	L432	F7
19	41	1544	L433	F3
33	40	1544	L434	F7
19	41	1544	L435	F3
44	33	1544	L436	F7
19	41	1544	L437	F3
19	9962	1544	L438	F3
38	19	1544	L439	F3
38	19	1544	L440	F3
38	19	1544	L441	F3
19	41	1545	L442	F3
33	40	1545	L443	F7
40	33	1545	L444	F7
19	41	1545	L445	F3
35	33	1545	L446	F7
19	41	1545	L447	F3
33	40	1545	L448	F7
45	74	1545	L449	F8
33	40	1545	L450	F7
44	33	1545	L451	F7
19	41	1545	L452	F3
35	40	1545	L453	F7
19	41	1545	L454	F3
46	74	1545	L455	F8
35	40	1545	L456	F7
33	40	1545	L457	F7
40	33	1545	L458	F7
35	9963	1545	L459	F7
33	40	1545	L460	F7
19	41	1545	L461	F3
19	9962	1545	L462	F3
33	40	1546	L463	F7
35	40	1546	L464	F7
33	40	1546	L465	F7
47	74	1546	L466	F8
48	74	1546	L466	F8
33	40	1546	L467	F7
19	41	1546	L468	F3
40	33	1546	L469	F7
49	33	1546	L470	F7
50	33	1546	L471	F7
33	40	1546	L472	F7
40	33	1546	L473	F7
33	40	1546	L474	F7
40	33	1546	L475	F7
33	40	1546	L476	F7
33	40	1546	L477	F7
19	41	1546	L478	F3
19	41	1547	L479	F3
19	41	1547	L480	F3
40	33	1547	L481	F7
19	41	1547	L482	F3
19	41	1547	L483	F3
19	41	1547	L484	F3
51	9960	1547	L485	F4
40	33	1547	L486	F7
33	40	1547	L487	F7
33	40	1547	L488	F7
19	41	1547	L489	F3
33	68	1548	L490	F7
52	74	1548	L491	F8
53	2963	1548	L492	F9
43	9964	1549	L493	F8
52	74	1549	L494	F8
54	9965	1549	L495	F5
55	106	1549	L496	F10
56	74	1549	L497	F8
57	74	1549	L498	F8
58	64	1550	L499	F11
59	74	1550	L500	F8
60	74	1550	L501	F8
43	74	1550	L502	F8
50	33	1551	L503	F7
61	33	1551	L504	F7
56	74	1551	L505	F8
33	40	1551	L506	F7
53	9966	1551	L507	F9
33	40	1552	L508	F7
33	68	1552	L509	F7
62	53	1552	L510	F9
63	33	1552	L511	F7
33	68	1552	L512	F7
33	68	1552	L513	F7
64	9967	1552	L514	F11
60	9968	1552	L515	F12
65	60	1553	L516	F12
52	74	1553	L517	F8
33	40	1553	L518	F7
33	68	1553	L519	F7
33	40	1553	L520	F7
66	67	1554	L521	F8
67	60	1554	L522	F8
33	68	1554	L523	F7
56	74	1554	L524	F8
50	33	1554	L525	F7
68	33	1554	L526	F7
33	9969	1555	L527	F7
69	64	1555	L528	F11
70	9970	1555	L529	F4
71	9971	1555	L530	F4
72	33	1556	L531	F7
73	1247	1556	L532	F13
72	33	1556	L533	F7
52	74	1556	L534	F8
33	41	1556	L535	F7
33	158	1557	L536	F7
74	76	1557	L537	F8
33	158	1557	L538	F7
33	158	1557	L539	F7
33	158	1557	L540	F7
47	74	1557	L541	F8
48	74	1557	L541	F8
33	158	1557	L542	F7
75	74	1557	L543	F8
76	74	1557	L544	F8
33	158	1557	L545	F7
41	33	1557	L546	F7
77	33	1557	L547	F7
33	158	1557	L548	F7
33	158	1557	L549	F7
33	158	1557	L550	F7
33	158	1557	L551	F7
33	158	1557	L552	F7
33	158	1557	L553	F7
33	158	1557	L554	F7
33	158	1557	L555	F7
33	158	1557	L556	F7
53	263	1557	L557	F9
78	263	1557	L557	F9
33	158	1557	L558	F7
79	33	1557	L559	F7
33	158	1557	L560	F7
33	41	1557	L561	F7
33	158	1557	L562	F7
33	158	1557	L563	F7
33	158	1557	L564	F7
73	1247	1557	L565	F13
56	74	1557	L566	F8
33	116	1557	L567	F7
33	158	1557	L568	F7
33	158	1557	L569	F7
33	158	1557	L570	F7
33	158	1558	L571	F7
77	33	1558	L572	F7
77	33	1558	L573	F7
33	158	1558	L574	F7
33	158	1558	L575	F7
33	158	1558	L576	F7
64	9972	1558	L577	F11
64	9972	1558	L578	F11
33	158	1558	L579	F7
33	158	1558	L580	F7
77	33	1558	L581	F7
80	74	1558	L582	F8
76	74	1558	L583	F8
75	74	1558	L584	F8
52	74	1558	L585	F8
33	158	1558	L586	F7
56	74	1558	L587	F8
33	158	1558	L588	F7
33	158	1558	L589	F7
33	158	1558	L590	F7
33	158	1558	L591	F7
33	158	1558	L592	F7
33	158	1558	L593	F7
33	158	1558	L594	F7
33	158	1558	L595	F7
81	106	1558	L596	F10
81	106	1558	L597	F10
33	158	1558	L598	F7
33	158	1558	L599	F7
77	33	1558	L600	F7
33	158	1558	L601	F7
82	74	1558	L602	F8
56	74	1558	L603	F8
33	77	1558	L604	F7
33	158	1558	L605	F7
56	74	1558	L606	F8
56	74	1558	L607	F8
52	74	1558	L608	F8
33	158	1559	L609	F7
33	158	1559	L610	F7
74	76	1559	L611	F8
33	155	1559	L612	F7
33	158	1559	L613	F7
56	74	1559	L614	F8
52	74	1559	L615	F8
33	155	1559	L616	F7
33	158	1559	L617	F7
33	155	1559	L618	F7
33	155	1559	L619	F7
33	155	1559	L620	F7
33	155	1559	L621	F7
33	158	1559	L622	F7
56	74	1559	L623	F8
33	155	1559	L624	F7
33	155	1559	L625	F7
33	155	1559	L626	F7
33	155	1559	L627	F7
33	158	1559	L628	F7
33	155	1559	L629	F7
33	155	1559	L630	F7
33	158	1559	L631	F7
33	83	1559	L632	F7
33	155	1559	L633	F7
83	33	1559	L634	F7
33	83	1559	L635	F7
33	83	1559	L636	F7
73	1247	1559	L637	F13
33	83	1559	L638	F7
33	83	1559	L639	F7
33	155	1559	L640	F7
33	83	1559	L641	F7
33	83	1559	L642	F7
56	74	1559	L643	F8
33	83	1559	L644	F7
33	83	1559	L645	F7
33	83	1559	L646	F7
33	83	1559	L647	F7
33	83	1559	L648	F7
84	9973	1559	L649	F8
73	1247	1559	L650	F13
33	83	1559	L651	F7
33	83	1559	L652	F7
33	83	1559	L653	F7
33	158	1559	L654	F7
33	155	1559	L655	F7
33	158	1559	L656	F7
33	155	1559	L657	F7
33	155	1559	L658	F7
85	74	1559	L659	F8
33	9974	1559	L660	F7
33	155	1560	L661	F7
64	9972	1560	L662	F11
